iter	Passed	Remaining
0	1	141
1	2	127
2	3	122
3	4	115
4	6	115
5	7	114
6	8	113
7	9	113
8	11	114
9	12	114
10	14	113
11	15	113
12	16	113
13	18	112
14	19	111
15	20	109
16	22	108
17	23	106
18	24	105
19	25	103
20	27	102
21	28	101
22	30	100
23	31	99
24	32	98
25	34	96
26	35	95
27	36	93
28	37	92
29	38	90
30	44	99
31	46	97
32	47	96
33	49	95
34	50	93
35	52	92
36	53	91
37	55	90
38	56	88
39	58	87
40	59	85
41	60	83
42	61	81
43	63	80
44	64	78
45	65	77
46	67	75
47	68	74
48	70	73
49	72	72
50	73	70
51	74	68
52	75	67
53	76	65
54	77	63
55	78	61
56	80	60
57	81	58
58	82	57
59	83	55
60	85	54
61	86	53
62	87	51
63	89	50
64	90	48
65	91	47
66	93	45
67	94	44
68	95	43
69	97	41
70	98	40
71	99	38
72	101	37
73	102	35
74	103	34
75	105	33
76	106	31
77	107	30
78	108	28
79	109	27
80	111	26
81	112	24
82	113	23
83	114	21
84	116	20
85	117	19
86	118	17
87	119	16
88	120	14
89	122	13
90	123	12
91	124	10
92	126	9
93	127	8
94	128	6
95	130	5
96	131	4
97	132	2
98	133	1
99	134	0
