iter	Passed	Remaining
0	1	1845
1	4	2201
2	6	2143
3	8	2138
4	10	2094
5	12	2026
6	13	1961
7	15	1913
8	19	2124
9	21	2100
10	23	2068
11	24	2052
12	26	2022
13	28	1987
14	29	1954
15	31	1958
16	34	1987
17	36	1993
18	38	1971
19	39	1959
20	41	1943
21	43	1921
22	45	1950
23	48	1952
24	49	1939
25	51	1934
26	53	1928
27	55	1913
28	56	1895
29	58	1877
30	61	1911
31	63	1917
32	65	1917
33	67	1907
34	68	1898
35	70	1888
36	72	1874
37	73	1873
38	75	1871
39	78	1875
40	80	1874
41	82	1890
42	84	1879
43	86	1874
44	88	1874
45	90	1875
46	92	1871
47	94	1867
48	95	1860
49	98	1873
50	100	1874
51	102	1876
52	104	1871
53	106	1864
54	108	1856
55	110	1857
56	112	1854
57	113	1846
58	115	1844
59	117	1842
60	119	1842
61	121	1836
62	123	1837
63	126	1844
64	127	1839
65	129	1839
66	132	1838
67	133	1832
68	136	1835
69	138	1840
70	140	1841
71	142	1838
72	144	1832
73	146	1830
74	148	1826
75	149	1821
76	151	1818
77	154	1823
78	155	1818
79	157	1812
80	159	1813
81	161	1810
82	162	1796
83	164	1790
84	165	1783
85	167	1784
86	169	1780
87	171	1777
88	173	1773
89	175	1769
90	176	1764
91	178	1764
92	180	1763
93	182	1761
94	184	1756
95	185	1750
96	187	1750
97	189	1747
98	192	1747
99	193	1745
100	195	1744
101	197	1739
102	199	1733
103	200	1729
104	202	1728
105	204	1725
106	206	1722
107	208	1720
108	209	1716
109	211	1711
110	212	1704
111	214	1700
112	216	1702
113	219	1703
114	221	1700
115	222	1699
116	224	1693
117	226	1689
118	227	1684
119	229	1680
120	231	1680
121	233	1679
122	235	1677
123	237	1674
124	238	1671
125	240	1666
126	241	1660
127	244	1662
128	245	1660
129	247	1657
130	249	1656
131	251	1653
132	252	1649
133	254	1643
134	256	1644
135	258	1645
136	260	1642
137	262	1639
138	264	1637
139	265	1633
140	267	1629
141	268	1624
142	271	1627
143	273	1628
144	275	1626
145	277	1623
146	279	1621
147	280	1617
148	282	1613
149	284	1613
150	288	1619
151	289	1617
152	291	1615
153	293	1613
154	295	1609
155	296	1606
156	298	1603
157	300	1602
158	303	1603
159	304	1601
160	306	1595
161	307	1592
162	309	1589
163	311	1585
164	313	1584
165	315	1584
166	317	1581
167	319	1580
168	320	1578
169	326	1594
170	328	1592
171	330	1590
172	332	1587
173	334	1585
174	335	1583
175	337	1580
176	339	1577
177	341	1575
178	344	1578
179	346	1576
180	347	1573
181	349	1571
182	351	1567
183	353	1565
184	354	1562
185	356	1560
186	358	1558
187	360	1556
188	362	1554
189	364	1552
190	365	1549
191	367	1545
192	368	1541
193	370	1539
194	372	1537
195	374	1535
196	376	1533
197	377	1530
198	379	1527
199	381	1524
200	382	1520
201	384	1518
202	386	1516
203	388	1514
204	389	1512
205	391	1510
206	394	1509
207	395	1506
208	397	1502
209	398	1500
210	400	1498
211	402	1497
212	404	1495
213	406	1492
214	408	1490
215	409	1486
216	411	1483
217	412	1480
218	414	1479
219	416	1477
220	418	1474
221	420	1472
222	421	1470
223	423	1467
224	425	1464
225	426	1460
226	429	1461
227	431	1460
228	432	1457
229	434	1454
230	436	1452
231	437	1449
232	439	1445
233	440	1443
234	442	1441
235	444	1439
236	446	1437
237	448	1435
238	450	1433
239	451	1431
240	453	1428
241	455	1426
242	457	1425
243	459	1423
244	461	1421
245	462	1418
246	464	1416
247	466	1413
248	467	1409
249	469	1407
250	471	1406
251	473	1404
252	475	1403
253	476	1400
254	478	1398
255	480	1395
256	481	1392
257	483	1389
258	497	1423
259	499	1420
260	500	1416
261	502	1414
262	504	1413
263	506	1410
264	507	1408
265	509	1405
266	511	1402
267	512	1399
268	514	1397
269	516	1395
270	517	1392
271	519	1390
272	521	1388
273	523	1386
274	525	1384
275	526	1381
276	528	1378
277	529	1376
278	532	1374
279	533	1373
280	535	1370
281	537	1368
282	539	1366
283	540	1362
284	541	1359
285	543	1357
286	545	1355
287	547	1353
288	549	1351
289	551	1349
290	552	1346
291	554	1343
292	555	1341
293	557	1339
294	559	1337
295	561	1335
296	563	1334
297	565	1332
298	567	1329
299	568	1326
300	570	1324
301	571	1321
302	573	1320
303	576	1318
304	577	1316
305	579	1314
306	581	1312
307	582	1309
308	584	1306
309	586	1304
310	588	1303
311	589	1300
312	591	1298
313	593	1297
314	595	1295
315	597	1292
316	599	1290
317	601	1289
318	603	1288
319	605	1287
320	607	1285
321	609	1282
322	611	1281
323	613	1279
324	615	1277
325	616	1275
326	618	1273
327	620	1271
328	622	1269
329	624	1267
330	625	1265
331	627	1262
332	629	1260
333	631	1259
334	633	1257
335	635	1255
336	636	1253
337	638	1250
338	640	1247
339	641	1246
340	643	1244
341	645	1242
342	648	1241
343	650	1240
344	651	1237
345	654	1236
346	655	1234
347	657	1231
348	659	1230
349	661	1228
350	664	1228
351	666	1227
352	668	1225
353	670	1223
354	672	1221
355	674	1220
356	676	1218
357	678	1217
358	680	1215
359	682	1212
360	684	1210
361	685	1208
362	687	1206
363	690	1206
364	692	1204
365	694	1202
366	695	1200
367	698	1198
368	699	1196
369	701	1194
370	703	1193
371	705	1191
372	708	1190
373	710	1188
374	712	1187
375	714	1185
376	717	1185
377	720	1185
378	722	1183
379	724	1181
380	725	1179
381	727	1176
382	728	1174
383	730	1171
384	732	1170
385	734	1168
386	736	1166
387	738	1164
388	739	1161
389	741	1159
390	743	1157
391	745	1156
392	747	1154
393	749	1153
394	751	1151
395	753	1148
396	754	1146
397	756	1144
398	757	1141
399	759	1139
400	761	1137
401	763	1135
402	765	1134
403	767	1132
404	769	1130
405	770	1127
406	772	1125
407	774	1124
408	776	1122
409	778	1120
410	780	1118
411	783	1117
412	784	1115
413	786	1113
414	788	1111
415	790	1109
416	792	1107
417	793	1105
418	795	1102
419	796	1100
420	798	1097
421	799	1095
422	801	1093
423	803	1091
424	805	1089
425	806	1087
426	808	1084
427	810	1082
428	811	1080
429	813	1078
430	814	1075
431	816	1073
432	818	1071
433	820	1069
434	821	1067
435	823	1065
436	825	1063
437	826	1061
438	828	1058
439	830	1056
440	832	1054
441	834	1053
442	835	1050
443	837	1048
444	838	1046
445	840	1044
446	842	1041
447	843	1039
448	845	1036
449	846	1035
450	848	1033
451	850	1030
452	851	1028
453	853	1026
454	854	1023
455	856	1021
456	857	1019
457	859	1016
458	861	1015
459	863	1013
460	865	1011
461	866	1009
462	868	1007
463	869	1004
464	871	1002
465	873	1000
466	874	998
467	876	996
468	878	994
469	879	991
470	881	989
471	882	987
472	884	984
473	885	982
474	887	980
475	888	978
476	892	978
477	894	976
478	895	974
479	897	972
480	898	969
481	900	967
482	902	965
483	903	963
484	905	961
485	907	959
486	909	957
487	910	955
488	912	953
489	913	950
490	915	948
491	916	946
492	918	944
493	920	943
494	922	941
495	924	938
496	925	936
497	927	934
498	928	932
499	930	930
500	932	928
501	934	926
502	936	925
503	938	923
504	939	921
505	941	919
506	943	917
507	944	914
508	946	912
509	947	910
510	949	908
511	951	906
512	953	905
513	954	902
514	956	900
515	957	898
516	959	896
517	961	894
518	963	893
519	965	891
520	967	889
521	968	887
522	970	885
523	972	883
524	974	881
525	976	879
526	978	878
527	980	876
528	982	874
529	983	872
530	985	870
531	986	867
532	988	866
533	989	863
534	992	862
535	994	860
536	996	858
537	997	856
538	999	854
539	1000	852
540	1002	850
541	1004	848
542	1006	847
543	1008	845
544	1010	843
545	1011	841
546	1013	839
547	1014	837
548	1016	835
549	1018	833
550	1019	831
551	1021	829
552	1024	827
553	1025	825
554	1028	824
555	1030	822
556	1031	820
557	1033	818
558	1036	817
559	1038	816
560	1040	814
561	1042	812
562	1043	810
563	1045	808
564	1046	805
565	1048	803
566	1050	802
567	1052	800
568	1053	798
569	1055	796
570	1057	794
571	1058	792
572	1060	790
573	1061	788
574	1063	785
575	1065	784
576	1067	782
577	1069	780
578	1070	778
579	1072	776
580	1074	774
581	1075	772
582	1077	770
583	1079	768
584	1081	766
585	1082	764
586	1084	763
587	1086	761
588	1087	759
589	1089	757
590	1091	755
591	1093	753
592	1095	751
593	1097	750
594	1098	747
595	1100	745
596	1102	743
597	1103	741
598	1105	740
599	1107	738
600	1109	736
601	1111	734
602	1112	732
603	1114	730
604	1116	728
605	1118	726
606	1119	724
607	1121	722
608	1123	721
609	1124	719
610	1126	717
611	1128	715
612	1129	713
613	1131	711
614	1133	709
615	1134	707
616	1136	705
617	1138	703
618	1139	701
619	1141	699
620	1143	697
621	1144	695
622	1146	693
623	1148	691
624	1149	689
625	1151	688
626	1155	687
627	1156	685
628	1158	683
629	1160	681
630	1162	679
631	1163	677
632	1165	675
633	1167	674
634	1170	672
635	1172	671
636	1174	669
637	1176	667
638	1177	665
639	1179	663
640	1182	662
641	1184	660
642	1186	658
643	1188	656
644	1190	655
645	1192	653
646	1193	651
647	1196	649
648	1198	648
649	1201	646
650	1202	644
651	1204	642
652	1205	640
653	1208	639
654	1211	638
655	1226	643
656	1228	641
657	1230	639
658	1232	637
659	1234	635
660	1236	633
661	1237	631
662	1240	630
663	1243	629
664	1245	627
665	1247	625
666	1249	623
667	1251	621
668	1252	619
669	1254	617
670	1256	616
671	1258	614
672	1260	612
673	1262	610
674	1264	608
675	1265	606
676	1267	604
677	1269	602
678	1271	601
679	1273	599
680	1274	597
681	1276	595
682	1277	593
683	1279	591
684	1281	589
685	1282	587
686	1284	585
687	1286	583
688	1287	581
689	1289	579
690	1291	577
691	1293	575
692	1294	573
693	1296	571
694	1298	569
695	1301	568
696	1303	566
697	1305	564
698	1307	562
699	1309	561
700	1311	559
701	1314	558
702	1316	556
703	1326	557
704	1329	556
705	1331	554
706	1333	552
707	1335	550
708	1337	548
709	1340	547
710	1342	545
711	1344	543
712	1346	542
713	1348	540
714	1350	538
715	1352	536
716	1355	534
717	1356	532
718	1359	531
719	1361	529
720	1363	527
721	1365	525
722	1368	524
723	1370	522
724	1374	521
725	1376	519
726	1380	518
727	1382	516
728	1384	514
729	1386	512
730	1388	510
731	1391	509
732	1393	507
733	1395	505
734	1397	503
735	1399	501
736	1402	500
737	1405	498
738	1411	498
739	1413	496
740	1415	494
741	1419	493
742	1421	491
743	1424	490
744	1426	488
745	1428	486
746	1432	485
747	1436	484
748	1439	482
749	1441	480
750	1443	478
751	1446	477
752	1449	475
753	1451	473
754	1453	471
755	1455	469
756	1457	467
757	1459	465
758	1462	464
759	1464	462
760	1467	460
761	1469	458
762	1471	457
763	1473	455
764	1475	453
765	1478	451
766	1480	449
767	1482	447
768	1484	445
769	1486	443
770	1488	441
771	1491	440
772	1493	438
773	1495	436
774	1497	434
